file_name;file_path;FINAL_GEOUNIT
Serbia;files/outlines/Serbia.png;Serbia
Serranilla_Bank;files/outlines/Serranilla_Bank.png;Serranilla Bank
Seychelles;files/outlines/Seychelles.png;Seychelles
Sierra_Leone;files/outlines/Sierra_Leone.png;Sierra Leone
Singapore;files/outlines/Singapore.png;Singapore
Slovakia;files/outlines/Slovakia.png;Slovakia
Slovenia;files/outlines/Slovenia.png;Slovenia
Solomon_Islands;files/outlines/Solomon_Islands.png;Solomon Islands
Somalia;files/outlines/Somalia.png;Somalia
South_Africa;files/outlines/South_Africa.png;South Africa
South_Georgia_and_the_Islands;files/outlines/South_Georgia_and_the_Islands.png;South Georgia and the Islands
South_Korea;files/outlines/South_Korea.png;South Korea
South_Sudan;files/outlines/South_Sudan.png;South Sudan
Southern_Patagonian_Ice_Field;files/outlines/Southern_Patagonian_Ice_Field.png;Southern Patagonian Ice Field
Spain;files/outlines/Spain.png;Spain
Spratly_Islands;files/outlines/Spratly_Islands.png;Spratly Islands
Sri_Lanka;files/outlines/Sri_Lanka.png;Sri Lanka
Sudan;files/outlines/Sudan.png;Sudan
Suriname;files/outlines/Suriname.png;Suriname
Svalbard;files/outlines/Svalbard.png;Svalbard
Sweden;files/outlines/Sweden.png;Sweden
Switzerland;files/outlines/Switzerland.png;Switzerland
Syria;files/outlines/Syria.png;Syria
São_Tomé_and_Principe;files/outlines/São_Tomé_and_Principe.png;São Tomé and Principe
Taiwan;files/outlines/Taiwan.png;Taiwan
Tajikistan;files/outlines/Tajikistan.png;Tajikistan
Tanzania;files/outlines/Tanzania.png;Tanzania
Thailand;files/outlines/Thailand.png;Thailand
The_Bahamas;files/outlines/The_Bahamas.png;The Bahamas
Togo;files/outlines/Togo.png;Togo
Tonga;files/outlines/Tonga.png;Tonga
Trinidad_and_Tobago;files/outlines/Trinidad_and_Tobago.png;Trinidad and Tobago
Tunisia;files/outlines/Tunisia.png;Tunisia
Turkey;files/outlines/Turkey.png;Turkey
Turkmenistan;files/outlines/Turkmenistan.png;Turkmenistan
Turks_and_Caicos_Islands;files/outlines/Turks_and_Caicos_Islands.png;Turks and Caicos Islands
Tuvalu;files/outlines/Tuvalu.png;Tuvalu
Uganda;files/outlines/Uganda.png;Uganda
Ukraine;files/outlines/Ukraine.png;Ukraine
United_Arab_Emirates;files/outlines/United_Arab_Emirates.png;United Arab Emirates
United_Kingdom;files/outlines/United_Kingdom.png;United Kingdom
United_States_Virgin_Islands;files/outlines/United_States_Virgin_Islands.png;United States Virgin Islands
United_States_of_America;files/outlines/United_States_of_America.png;United States of America
Uruguay;files/outlines/Uruguay.png;Uruguay
Uzbekistan;files/outlines/Uzbekistan.png;Uzbekistan
Vanuatu;files/outlines/Vanuatu.png;Vanuatu
Vatican;files/outlines/Vatican.png;Vatican
Venezuela;files/outlines/Venezuela.png;Venezuela
Vietnam;files/outlines/Vietnam.png;Vietnam
Wallis_and_Futuna;files/outlines/Wallis_and_Futuna.png;Wallis and Futuna
Yemen;files/outlines/Yemen.png;Yemen
Zambia;files/outlines/Zambia.png;Zambia
Zimbabwe;files/outlines/Zimbabwe.png;Zimbabwe
eSwatini;files/outlines/eSwatini.png;eSwatini
